,Words (split by space),label
0,senator carl krueger thinks ipods can kill you,surprise
1,who is prince frederic von anhalt,joy
2,prestige has magic touch,joy
3,study female seals picky about mates,joy
4,no e book for harry potter vii,joy
5,blair apologises over friendly fire inquest,joy
6,vegetables may boost brain power in older adults,joy
7,afghan forces retake town that was overrun by taliban,joy
8,skip the showers male sweat turns women on study says,joy
9,made in china irks some burberry shoppers,joy
10,britain to restrict immigrants from new eu members,joy
11,canadian breakthrough offers hope on autism,joy
12,russia to strengthen its military muscle,fear
13,alzheimer s drugs offer no help study finds,joy
14,uk police slammed over terror raid,joy
15,no rejects police state claim,joy
16,oprah announces new book club pick,joy
17,smith can t be buried until hearing,joy
18,african nation hopes whoopi can help,joy
19,tourism lags in bush s hometown,joy
20,air france klm profit rises,surprise
21,au regrets sudan s expulsion of un envoy,joy
22,taiwan s mr clean indicted steps down,joy
23,martian life could have evaded detection by viking landers,joy
24,turner pays for boston bombing,joy
25,serena misses bangalore tournament,joy
26,attorneys point fingers in fight between ryan o neal and son,joy
27,pledge i was abused in frat hazing,joy
28,whistle blowing web site exposed,surprise
29,growing unarmed battalion in qaeda army is using internet to get the message out,sad
30,royal rescues presidential hopes with commanding performance,fear
31,minister slams airlines on carbon,joy
32,audio slide show a love story lasting years,joy
33,fully cooked chicken strips recalled,joy
34,madonna adoption bid approved,surprise
35,rowdy fans ejected from the open,joy
36,snow wreaks havoc in east midwest,joy
37,the energy challenge exotic visions how to cool a planet maybe,joy
38,libby defense upsets judge rests,surprise
39,briton admits u s bomb plot role,joy
40,routine mission turns into hunt for missing comrade,joy
41,ex suspect slams anti terror laws,joy
42,federer overcomes a ragged start,joy
43,investigation of child porn site hits nations,joy
44,bangladesh ends curfew amid unrest,surprise
45,sarkozy comfort zone offers a royal opportunity,joy
46,sick hearts switch on a fetal gene,joy
47,chinese president arrives in mozambique african tour nearly over,joy
48,homemade bombs kill on indian train,joy
49,france rejects rwandan investigators,surprise
50,at libby trial russert of nbc gives and gets,joy
51,rare optimism as north korea talks reach crossroads,joy
52,for women nothing s like the smell of men s sweat,joy
53,reports harvard set to name first female president,joy
54,justin timberlake cameron diaz announce split,joy
55,hastert sorry for scandal but not quitting,joy
56,world s oldest newspaper now exists only online,joy
57,houston she s got some problems,joy
58,firms on alert for letter bombs,joy
59,study africa s internet gap getting wider,joy
60,siesta cuts risk of heart disease death study finds,joy
61,spain ahead although nadal is out,joy
62,runway making good without making nice,surprise
63,russia plans new icbms nuclear subs,joy
64,no buyer in sight for napster,surprise
65,outcry at n korea nuclear test,joy
66,ipod good for video games,joy
67,taking the plunge,joy
68,england include giles in wc squad,joy
69,beyonce copyright claim rejected,joy
